rank,beta,relative error,std error
1,1.0,0.1630183122572458,0.004028613063690745
1,2.0,0.16454174357948798,0.004295322202516362
1,3.0,0.1642018604851123,0.002631399583862263
1,4.0,0.16424712500403066,0.004390170256505
1,5.0,0.1660454277387911,0.005726641244069299
1,6.0,0.16473703074408066,0.003493597444524979
1,7.0,0.16739176178085297,0.004068459229622304
1,8.0,0.17068505331336567,0.0034457713687747935
1,9.0,0.1750374976394004,0.0032057626284155206
1,10.0,0.1789789966311967,0.005884047284522213
1,11.0,0.1806026904437322,0.003737180153101436
1,12.0,0.18448483529551082,0.0034940190010668043
1,13.0,0.18822801097953912,0.004589535314829635
1,14.0,0.19193366063597903,0.004125363747172384
1,15.0,0.19420241640451724,0.003787997496331623
1,16.0,0.19760048431756402,0.003126143729417465
1,17.0,0.20323862134596352,0.0033503888660098026
1,18.0,0.2081005096013922,0.0031371330907930903
1,19.0,0.21145500443564447,0.003393413289345361
1,20.0,0.2129825961083621,0.003258092322699123
2,1.0,0.09163984487245655,0.003029963402280136
2,2.0,0.09295473141315237,0.002842069111164831
2,3.0,0.08952720995171405,0.0019915044938323832
2,4.0,0.09216875156711987,0.0025018560375477937
2,5.0,0.09098388416547201,0.0019761768990275695
2,6.0,0.09403050771900527,0.0030901039744361974
2,7.0,0.09827765603114945,0.0022801268430498547
2,8.0,0.10510055398484974,0.002888978534966949
2,9.0,0.11280814691489775,0.0029011429115997672
2,10.0,0.11682041232476914,0.0017898954143892262
2,11.0,0.12409583437475921,0.0022396105801899494
2,12.0,0.13251450751873645,0.003012692396657412
2,13.0,0.1387500793056881,0.0030041652290279134
2,14.0,0.14385497932158087,0.0024242207644369247
2,15.0,0.1489979074522824,0.0020875970375237624
2,16.0,0.15605868070346104,0.004412967355990962
2,17.0,0.1605461095219046,0.0027322338473190913
2,18.0,0.1652596397515398,0.0020765793602099698
2,19.0,0.17213929147729606,0.0025308044168535055
2,20.0,0.17628232099178368,0.0032003625749116864
3,1.0,0.0471641918417645,0.0010963341144287298
3,2.0,0.04705728847028139,0.0013013471480465139
3,3.0,0.04739040961421431,0.0017504991830201056
3,4.0,0.04786341641482412,0.002208270336405791
3,5.0,0.0473413460596258,0.002161628470393398
3,6.0,0.05253229179934362,0.0012703338092085337
3,7.0,0.06471633176484948,0.0011569053639314548
3,8.0,0.07828837011855487,0.0019193473284149826
3,9.0,0.0904858217417863,0.0025986193493834323
3,10.0,0.10054697290964856,0.002453429985140146
3,11.0,0.11190259018903256,0.0026840766770379783
3,12.0,0.12083799270241133,0.0034395803214316177
3,13.0,0.13354419030597253,0.00205686556032576
3,14.0,0.1391450659167365,0.0026215149589777745
3,15.0,0.14831982725826331,0.0035252484718530782
3,16.0,0.1585281081729744,0.0041623504477436854
3,17.0,0.16237733145996433,0.0035021990034956297
3,18.0,0.17348366031712575,0.006474667828858161
3,19.0,0.18313625604844147,0.008612780411925602
3,20.0,0.18745118960725754,0.005027022582219976
4,1.0,0.024940363431648842,0.00042947470634254625
4,2.0,0.024785105197107943,0.0004201523345511746
4,3.0,0.024922541092345804,0.00047887090519919604
4,4.0,0.024801665577651708,0.00031524976555222185
4,5.0,0.02469573744282475,0.0005987708546176631
4,6.0,0.03610640878578072,0.0005945695669779597
4,7.0,0.0543550105934387,0.0009113934466524697
4,8.0,0.0705573963996911,0.0019857072486328554
4,9.0,0.08539698213707536,0.0011584313830710015
4,10.0,0.10039976879431387,0.0026291380964438326
4,11.0,0.11228257087746005,0.0028559423218043195
4,12.0,0.12054273732199439,0.0030275409481249098
4,13.0,0.13219786423399255,0.0026102287293593715
4,14.0,0.1448552642669708,0.004787560547240274
4,15.0,0.158842220997501,0.011395445349891481
4,16.0,0.16917950207085922,0.011906530897901947
4,17.0,0.17762135428340703,0.004863970568906298
4,18.0,0.181862669818853,0.005553145812832942
4,19.0,0.18531198273277907,0.0061919061600267
4,20.0,0.1988133261296986,0.012831538261000381
5,1.0,0.025678407621619527,0.00045534868668136775
5,2.0,0.02568756122588368,0.0005093985724390516
5,3.0,0.025295307670067158,0.0004996963337202127
5,4.0,0.025422784397659697,0.000416513332208732
5,5.0,0.025574447419883274,0.00040696422884347363
5,6.0,0.038396073284636414,0.0015473599558057567
5,7.0,0.05907535099913441,0.004586266179869067
5,8.0,0.0736303463008005,0.0026497625863892006
5,9.0,0.08719202952159529,0.0027642140881982457
5,10.0,0.10313526969460371,0.0029212488272763923
5,11.0,0.1156476558465868,0.009838105124758662
5,12.0,0.1265431364441017,0.004480195853217033
5,13.0,0.1428410588035472,0.00937261498494462
5,14.0,0.15818506894934192,0.009391239049941219
5,15.0,0.16923305220200707,0.007447474596045752
